mois,region,ligne_produit,sellout_meur,sellin_meur,stock_meur,couverture_semaines
2024-07,France,Parfum Femme,21.54,21.54,24.88,5.0
2024-08,France,Parfum Femme,20.5,19.29,23.67,5.0
2024-09,France,Parfum Femme,19.23,24.42,28.86,6.5
2024-10,France,Parfum Femme,20.89,23.39,31.36,6.5
2024-11,France,Parfum Femme,23.11,26.45,34.7,6.5
2024-12,France,Parfum Femme,27.16,23.84,31.37,5.0
2025-01,France,Parfum Femme,19.29,3.52,15.59,3.5
2025-02,France,Parfum Femme,22.55,25.19,18.23,3.5
2025-03,France,Parfum Femme,19.02,22.76,21.97,5.0
2025-04,France,Parfum Femme,20.15,21.45,23.27,5.0
2025-05,France,Parfum Femme,22.08,24.32,25.5,5.0
2025-06,France,Parfum Femme,20.1,17.81,23.21,5.0
2025-07,France,Parfum Femme,21.66,23.46,25.01,5.0
2025-08,France,Parfum Femme,19.49,16.98,22.51,5.0
2025-09,France,Parfum Femme,17.92,22.31,26.9,6.5
2025-10,France,Parfum Femme,19.72,22.43,29.61,6.5
2025-11,France,Parfum Femme,22.8,27.41,34.22,6.5
2025-12,France,Parfum Femme,28.08,26.29,32.43,5.0
2026-01,France,Parfum Femme,17.95,0.03,14.51,3.5
2026-02,France,Parfum Femme,21.17,23.78,17.11,3.5
2026-03,France,Parfum Femme,20.31,26.65,23.46,5.0
2026-04,France,Parfum Femme,19.89,19.41,22.97,5.0
2026-05,France,Parfum Femme,22.82,26.2,26.35,5.0
2026-06,France,Parfum Femme,19.69,16.07,22.73,5.0
2024-07,France,Parfum Homme,14.02,14.02,16.19,5.0
2024-08,France,Parfum Homme,13.96,13.88,16.12,5.0
2024-09,France,Parfum Homme,12.18,14.35,18.28,6.5
2024-10,France,Parfum Homme,13.56,15.64,20.36,6.5
2024-11,France,Parfum Homme,15.4,18.15,23.12,6.5
2024-12,France,Parfum Homme,18.3,16.31,21.13,5.0
2025-01,France,Parfum Homme,12.08,0.71,9.76,3.5
2025-02,France,Parfum Homme,15.79,18.78,12.76,3.5
2025-03,France,Parfum Homme,13.05,15.36,15.07,5.0
2025-04,France,Parfum Homme,12.85,12.62,14.84,5.0
2025-05,France,Parfum Homme,15.59,18.75,18.0,5.0
2025-06,France,Parfum Homme,13.2,10.45,15.25,5.0
2025-07,France,Parfum Homme,14.6,16.22,16.86,5.0
2025-08,France,Parfum Homme,13.13,11.43,15.17,5.0
2025-09,France,Parfum Homme,12.27,15.53,18.42,6.5
2025-10,France,Parfum Homme,13.67,15.77,20.53,6.5
2025-11,France,Parfum Homme,16.37,20.41,24.57,6.5
2025-12,France,Parfum Homme,18.86,16.08,21.78,5.0
2026-01,France,Parfum Homme,12.46,0.76,10.07,3.5
2026-02,France,Parfum Homme,14.88,16.83,12.02,3.5
2026-03,France,Parfum Homme,12.37,14.62,14.28,5.0
2026-04,France,Parfum Homme,13.19,14.15,15.24,5.0
2026-05,France,Parfum Homme,15.12,17.34,17.46,5.0
2026-06,France,Parfum Homme,14.5,13.79,16.75,5.0
2024-07,France,Haute Parfumerie,5.36,5.36,6.19,5.0
2024-08,France,Haute Parfumerie,4.83,4.22,5.58,5.0
2024-09,France,Haute Parfumerie,4.75,6.31,7.14,6.5
2024-10,France,Haute Parfumerie,4.89,5.1,7.34,6.5
2024-11,France,Haute Parfumerie,5.69,6.88,8.54,6.5
2024-12,France,Haute Parfumerie,6.99,6.53,8.08,5.0
2025-01,France,Haute Parfumerie,4.74,0.49,3.83,3.5
2025-02,France,Haute Parfumerie,5.67,6.43,4.58,3.5
2025-03,France,Haute Parfumerie,4.69,5.53,5.42,5.0
2025-04,France,Haute Parfumerie,4.89,5.12,5.65,5.0
2025-05,France,Haute Parfumerie,5.68,6.59,6.56,5.0
2025-06,France,Haute Parfumerie,5.28,4.83,6.1,5.0
2025-07,France,Haute Parfumerie,5.28,5.28,6.1,5.0
2025-08,France,Haute Parfumerie,5.19,5.08,5.99,5.0
2025-09,France,Haute Parfumerie,4.58,5.47,6.88,6.5
2025-10,France,Haute Parfumerie,4.82,5.17,7.23,6.5
2025-11,France,Haute Parfumerie,6.08,7.97,9.12,6.5
2025-12,France,Haute Parfumerie,7.27,6.55,8.4,5.0
2026-01,France,Haute Parfumerie,4.62,0.0,3.78,3.5
2026-02,France,Haute Parfumerie,5.76,6.65,4.66,3.5
2026-03,France,Haute Parfumerie,4.89,5.88,5.65,5.0
2026-04,France,Haute Parfumerie,4.9,4.91,5.66,5.0
2026-05,France,Haute Parfumerie,5.76,6.76,6.66,5.0
2026-06,France,Haute Parfumerie,5.46,5.11,6.3,5.0
2024-07,France,Maquillage,12.16,12.16,14.04,5.0
2024-08,France,Maquillage,12.49,12.87,14.42,5.0
2024-09,France,Maquillage,9.82,10.14,14.74,6.5
2024-10,France,Maquillage,11.73,14.61,17.61,6.5
2024-11,France,Maquillage,13.44,16.0,20.18,6.5
2024-12,France,Maquillage,15.58,13.4,18.0,5.0
2025-01,France,Maquillage,10.55,1.07,8.52,3.5
2025-02,France,Maquillage,11.75,12.72,9.5,3.5
2025-03,France,Maquillage,11.04,14.28,12.74,5.0
2025-04,France,Maquillage,11.51,12.06,13.29,5.0
2025-05,France,Maquillage,13.58,15.96,15.68,5.0
2025-06,France,Maquillage,11.54,9.18,13.32,5.0
2025-07,France,Maquillage,12.0,12.54,13.86,5.0
2025-08,France,Maquillage,11.8,11.57,13.63,5.0
2025-09,France,Maquillage,11.32,14.68,16.99,6.5
2025-10,France,Maquillage,11.7,12.28,17.56,6.5
2025-11,France,Maquillage,13.34,15.8,20.02,6.5
2025-12,France,Maquillage,16.26,15.01,18.77,5.0
2026-01,France,Maquillage,10.7,0.57,8.65,3.5
2026-02,France,Maquillage,13.24,15.3,10.7,3.5
2026-03,France,Maquillage,10.84,12.65,12.51,5.0
2026-04,France,Maquillage,11.4,12.05,13.16,5.0
2026-05,France,Maquillage,12.91,14.66,14.91,5.0
2026-06,France,Maquillage,11.3,9.45,13.05,5.0
2024-07,Etats-Unis,Parfum Femme,53.49,53.49,61.77,5.0
2024-08,Etats-Unis,Parfum Femme,51.96,50.19,60.0,5.0
2024-09,Etats-Unis,Parfum Femme,47.01,57.58,70.57,6.5
2024-10,Etats-Unis,Parfum Femme,49.18,52.44,73.83,6.5
2024-11,Etats-Unis,Parfum Femme,55.37,64.67,83.12,6.5
2024-12,Etats-Unis,Parfum Femme,67.46,62.24,77.9,5.0
2025-01,Etats-Unis,Parfum Femme,45.15,3.75,36.5,3.5
2025-02,Etats-Unis,Parfum Femme,53.37,60.0,43.14,3.5
2025-03,Etats-Unis,Parfum Femme,48.08,60.47,55.52,5.0
2025-04,Etats-Unis,Parfum Femme,50.13,52.5,57.89,5.0
2025-05,Etats-Unis,Parfum Femme,59.83,71.02,69.08,5.0
2025-06,Etats-Unis,Parfum Femme,51.39,41.65,59.34,5.0
2025-07,Etats-Unis,Parfum Femme,54.18,57.4,62.56,5.0
2025-08,Etats-Unis,Parfum Femme,52.09,49.67,60.15,5.0
2025-09,Etats-Unis,Parfum Femme,44.47,51.08,66.76,6.5
2025-10,Etats-Unis,Parfum Femme,50.25,58.92,75.43,6.5
2025-11,Etats-Unis,Parfum Femme,59.21,72.67,88.89,6.5
